<TOKEN>,<NUM>,<DATE>,<CODE>,<DESCR>
92,7,06.03.19,001,возле станка 1-21 стоит открытая канистра с маслом. Есть риск розлива и получания травмы.
93,8,11.03.19,001,около стеллажа с оснасткой произошло осыпание штукатурки. Риск осыпания на работника
94,9,14.03.19,001,в непроветриваемом помещении ведуться работы с выделением гари. 
95,10,14.03.19,001,Около зоны складирования пустой тары расположена пирамида с AL. Нет возможности взять заготовку без нарушения ТБ.
96,11,14.03.19,001,На полу в зоне складирования материала лежат швеллера. Мешают передвижению.
97,12,14.03.19,001,на участке недостаточно освещения. 2 лампы переодически гаснут.
98,13,14.03.19,001,С крыши капает вода в зону обслуживания станка. Некомфортно работать.
99,14,20.03.19,001,при проведении ППР станка проход был загорожен кожухами.
100,15,20.03.19,001,на токарном станке №5 нужно заменить треснутое смотровое стекло. Есть возможность поучить травму.
101,16,20.03.19,001,в раздевалке отсутствует освещение. Это может привести к травме.
102,17,20.03.19,001,Очень плохое освещение во 2ю смену на участке. Возможность испортить зрение.
103,18,20.03.19,001,на стойке возле станка висит провод.
104,19,20.03.19,001,на подножном трапе станка отошла доска. Риск споткнуться и получить травму.
105,20,20.03.19,001,Возле станка 1-04 остатки эмульсии на полу. Возможность поскользнуться и получить травму.
106,21,20.03.19,001,На рабочем месте над токарным станком протекает крыша. 
107,22,20.03.19,001,Острая кромка на таре. Зацепилась и порвола одежду.
108,23,21.03.19,001,возле стеллажа образовалась лужа. Капает с крыши.
109,24,21.03.19,001,откололась плитка на входе в женскую раздевалку. Есть вероятность споткнуться и получить травму.
110,25,22.03.19,001,на столе для маркировки неисправен светильник. Возможность поражения эл. током.
111,26,26.03.19,001,не работает слив в туалете. Слабый напор.
112,27,26.03.19,001,В раздевалке с крыши капает вода. Есть возможность поскользнуться и получить травму. 
113,28,27.03.19,001,на бочке с маслом лежит щетка  с нее стекает масло. Есть риск поскользнуться и получить травму.
114,29,20.03.19,001,на воротах отсутствует жесткая фиксация ручки двери. Есть риск прищемить пальцы.
115,30,22.03.19,001,около станка mill 2-13 не закрывается окно. Неотрегулирована фурнитура. Есть риск простудиться.
116,1,02.04.19,001,Оператор споткнулся о рохлю с поднятыми захватами.
117,2,02.04.19,001,Рохля стоит на проходе. Риск споткнуться.
118,3,03.04.19,001,На полу между прессами 16 и 17 лежат воздушные шланги  риск споткнуться.
119,4,03.04.19,001,контейнера на участке стоят в 3 яруса с наклоном. Может привести к падению.
120,5,04.04.19,001,возле шлифовального станка 6-05 находится пожарный щит у котоого выпирает багор. Возможно удариться головой.
121,6,09.04.19,001,защитные стекла на заточных станках мутные  не видно обрабатываемого инструмента. Риск получить травму.
122,7,09.04.19,001,на стеллаже со входящими деталями длинные детали сильно выступают за габариты стеллажа. Есть риск зацепиться и получить травму.
123,8,09.04.19,001,из деревянного трапа вылез гвоздь. Cпоткнулся  но не упал.
124,9,10.04.19,001,на станке № 13 минимил - неисправность фурнитуры закрытия окна. Может поизойти падение створки и привести к травме.
125,10,15.04.19,001,возле станка 1-10 проходит шланг подачи воздуха  что привело к спотыканию.
126,11,15.04.19,001,протечка эмульсии из бака. Риск подскользнуться и получить травму.
127,12,15.04.19,001,после ремонта стака на полу остались лужи с эмульсией и маслом.
128,13,15.04.19,001,на полу  возле станка 1-36 на полу загнутая пластина. Риск споткнуться и получить травму.
129,14,18.04.19,001,возле станка 1-19 не закреплен шланг подачи воздуха. Риск споткнуться и получить травму
130,15,24.04.19,001,Около шлифовального станка разлита эмульсия. Риск поскользнуться т получить травму.
131,16,26.04.19,001,у станка 4-12 течь масла из-под передней крышки консоли станка. Риск подскользнуться и получить травму.
132,17,29.04.19,001,Из стеллажа торчат длинные прутки -выпирают за габариты стеллажа. Риск получить травму о выступающие края.
133,18,29.04.19,001,на технологическом проходе стоит контейнер  риск споткнуться и получить травму.
134,19,29.04.19,001,на станке 1-10 течь масла. Риск поскользнуться и получить травму.
135,20,29.04.19,001,на проходе  на участке  стоит рохля с поднятыми вилами.
136,21,26.04.19,001,на станке 2-13 на сигнальной лампе не закреплен защитный плафон. Это может привести к поражению эл. током.
137,22,29.04.19,001,на станке 6-04 не закреплено заземление. Может привести к поражению эл. током.
138,23,29.04.19,001,на участке находиться контейнер с отогнутыми ограничителями  что может привести к ушибу голени.
139,24,26.04.19,001,Заставлен проход к станку контейнерами и поддонами. Есть риск сподкнуться и получить травму.
140,25,29.04.19,001,при соблюдении зон ВХ и ВЫХ деталей есть риск попадания руки в шпиндель  и получения травмы.
141,26,29.04.19,001,на прессе П6-4912 шланг подачи воздуха расположен на полу и не закрыт. Риск падения.
142,27,29.04.19,001,у пресса № 5 электрические провода находяться на полу без защитного кожуха. Риск поражения эл.током.
143,28,29.04.19,001,около станка 4-14 щит ограждения сломан. Риск зацепиться и получить травму.
144,29,29.04.19,001,станок 4-16 находиться в ремонте. Нет ограждающей ленты. Трап лежит в стороне. Есть риск получения травмы.
145,30,29.04.19,001,на станок 4-17 со сверлильного участка летит стружка. Риск попадания на двигатель.
146,1,06.05.19,001,порваны штаны о контейнер для контакта 8.174.242-001. риск получить травму.
147,2,06.05.19,001,на участке очень жарко  есть риск получить тепловой удар.
148,3,06.05.19,001,на сианке FSS450 не фиксируется лампа местного освещения. Есть риск падения в зону работы фрезы и получения травмы.
149,4,07.05.19,001,на зачистных станках не видно через защитные стекла обрабатываемую деталь. Риск получить травму.
150,5,13.05.19,001,разлито масло у контейнера со стружкой. Риск получить травму.
151,6,16.05.19,001,защитная штора стоит одной ногой на проходе. Риск споткнуться и получить травму
152,7,17.05.19,001,происходит утечка воды и из шланга 
153,8,21.05.19,001,розлив имульсии возле станка. Риск поскользнуться и получить травму.
154,9,06.05.19,001,около станка 1-01 из контейнера для стружки витекает масло на проход. Риск поскользнуться.
155,10,22.05.19,001,на станке для зачистки деталей лопнула лампочка.
156,11,22.05.19,001,на станке 3-01 утечка СОЖ. Риск поскользнуться.
157,12,23.05.19,001,торчит болт о который можно зацепиться и упасть.
158,13,23.05.19,001,Спотыкаешься о гвозди вылазиющие из трапа. Риск упасть.
159,14,23.05.19,001,из доски трапа торчит шляпка гвоздя
160,15,23.05.19,001,протекло масло из станка 3-06. риск поскользнуться и получить травму.
161,16,23.05.19,001,у станка 1-22 вытекло гидравлическое масло. Риск поскользнуться и получить травму.
162,17,23.05.19,001,зона входящих деталей станка 6-01 преграждает проход между станками
163,18,23.05.19,001,возле станка 4-14 у защитного щита ножки выпирают за разметку. Риск сподкнуться и получить травму 
164,19,23.05.19,001,возле станка 4-12 сттоит контейнер с деталями. Риск зацепиться и получить травму.
165,20,23.05.19,001,возле станка 4-07 стоят тиски на трапе. Риск сподкнуться и получить травму
166,21,23.05.19,001,на станке лежит промасленная ветошь. Риск возгорания от раскаленной стружки.
167,22,23.05.19,001,контейнер со стружкой на участке hanwha не гермитичный. Вытекает масло. Риск подскользнуться и получить травму.
168,23,23.05.19,001,поддон под детали и стружку выступает за разметку прохода. Риск сподкнуться.
169,24,23.05.19,001,возле станка 2-04 размотан удлиннитель. Риск споткнуться и получить травму.
170,25,23.05.19,001,контейнер с заготовкой стоит возле станка 2-06 и выступает за разметку. Риск сподкнуться.
171,26,23.05.19,001,рохля с деталями стоит на проходе. Риск сподкнуться и получить травму
172,27,23.05.19,001,на станке 1-04 протечка СОЖ. Риск подскользнуться
173,28,23.05.19,001,контейнер с деталями стоит на проходе. Риск зацепиться и получить травму.
174,29,23.05.19,001,шланг для разлива СОЖ валяется на проходе. Риск сподкнуться
175,30,24.05.19,001,течь масла у фрезерного станка 4-16. риск подскользнуться и получить травму
176,31,27.05.19,001,от спец. ботинок происходит отслоение ногтей и деформация ступней.
177,32,27.05.19,001,течь эмульсии на станке 1-06. риск подскользнуться и получить травму
178,33,28.05.19,001,на станке 5-10 висят эл. провода. Риск задеть при уборке.
179,34,28.05.19,001,при входе в женскую раздевалку на полу откололась плитка. Риск сподкнуться и получить травму.
180,35,28.05.19,001,после обеда солнце из окна светит в глаза. Риск получить травму
181,36,30.05.19,001,возле станка 1-33 установлена стойка для металла  что мешало проходу. Риск зацепиться. 
182,37,30.05.19,001,на станок 1-31 шланги подачи воздуха лежат на полу. Риск споткнуться
183,38,30.05.19,001,возле станка 1-31 установлена стойка для металла  что мешало проходу. Риск зацепиться. 
184,39,30.05.19,001,возле станка 1-29 стойка для металла не прикреплена к полу. Риск получить травму
185,40,30.05.19,001,на участке заточки рабилась лампочка. Риск порезаться осколками
186,41,30.05.19,001,на станке 1-01 из контейнера со стружкой вытекает масло. Риск подскользнуться и получить травму
187,42,15.05.19,001,на участке заточки не горит свет на наждаке.
188,1,28.05.19,001,за станком 5-05 длинный провод заземления. Риск споткнуться
189,2,28.05.19,001,у станка 5-01 не закреплен провод заземления
190,3,28.05.19,001,плохо закреплена раковина. Риск падения раковины
191,4,05.06.19,001,не освещен проход
192,5,10.06.19,001,шланг с воздухом проходит через проход. Сподкнулся
193,6,11.06.19,001,на заточном станке защитное стекло расположено слишком близко к кругу. Не удобно зачищать детали. Риск получить травму
194,7,11.06.19,001,Готовые детали выступают на проход. Риск задеть и получить травму
195,8,11.06.19,001,из контейнера торчали использованные пилы. Риск поручить порез
196,9,11.06.19,001,из подножного трапа выступает гвоздь. Можно получить травму
197,10,17.06.19,001,отсутствует заземление на станке 5-01. риск поражения эл. током.
198,11,17.06.19,001,повышенный уровень шума на участке.
199,12,19.06.19,001,разлита эмульсия на полу. Риск получить травму
200,13,19.06.19,001,Упал не закрепленный металлический подоконник.
201,14,19.06.19,001,возле станка В-2738 открыта яма с компрессором. Не ограждена. Рискпадения
202,15,20.06.19,001,на проходе стоит контейнер. Риск споткнуться
203,16,20.06.19,001,около станка 4-07 контейнер на проходе. Риск получить травму
204,17,20.06.19,001,Чек лист весит в воздухе. Закрепить.
205,18,20.06.19,001,споткнулся о контейнер  стоящий в проходе
206,19,20.06.19,001,зацепился за информационный стенд
207,20,20.06.19,001,споткнулся о ножки защитного ограждения
208,21,20.06.19,001,на месте розлива СОЖ разлито масло.
209,22,20.06.19,001,на рабочих местах отсутствует крепление для масла
210,23,20.06.19,001,узкий проход между станками и зоной входящих деталей
211,24,20.06.19,001,при работе ударяешься о подставки для деталей
212,25,20.06.19,001,открепился подоконник возле станка 4-05
213,26,20.06.19,001,пруток выдвинут со стеллажа. Риск наткнуться
214,27,20.06.19,001,пруток выдвинут со стеллажа. Риск наткнуться
215,28,20.06.19,001,разлито масло на полу. Риск получить травму
216,29,21.06.19,001,в ветоши находяться опилки. Риск порезать руки.
217,30,21.06.19,001,напроходе стоит рохля с поднятыми вилами. Риск споткнуться.
218,31,24.06.19,001,разлита вода. Риск падения
219,32,27.06.19,001,Рохля стоит на проходе. Споткнулась.
220,33,26.06.19,001,возле пресса №4 труба подачи воздуха перегораживает проход. Риск мпотыкания.
221,1,02.07.19,001,Течь масла из под станка 4-16
222,2,03.07.19,001,Мыши в цехе  Риск заразиться 
223,3,08.07.19,001,Течь масла из под станка 4-16
224,4,08.07.19,001,Лужа возле бочек с СОЖ
225,5,11.07.19,001,Сломан трап у станка GR 18
226,6,11.07.19,001,Отсутствует трап на станке
227,7,11.07.19,001,На центральном проходе возле GR-510 яма   риск спотыкания
228,8,11.07.19,001,Железная полоса заземления открепилась от пола  риск спотыкания
229,9,11.07.19,001,На полу между станками 32 и 33 ямка  риск спотыкания
230,10,11.07.19,001,У станка у течка эмульсии
231,11,11.07.19,001,Из трапа торчат гвозди
232,12,11.07.19,001,В зоне проведения СИМ1 через проход лежит шланг подачи воздуха  риск падения
233,13,11.07.19,001,Торчат детали со стеллажжа в проход  риск травмы
234,14,11.07.19,001,Розлив эмульсии рядом со станком  рис падения на скольком полу
235,15,11.07.19,001,Возле станка кабель подачи воздуха мешает проходу
236,16,11.07.19,001,проход от МехОП до Кузницы не освещаается ночью
237,17,11.07.19,001,розлив масла около станка 3-05
238,18,17.07.19,001,За окнами вдоль стены фрезерного участка растет кустарник  который разрушает здание и загорадживает свет
239,19,19.07.19,001,Во время работы на фрезерных станках стружка летит на близлежащие станки и проход
240,20,29.07.19,001,Во время работы фрезерного станка № 4 горячая стружка летит на станки № 2 и 3. Риск получения травмы.
241,21,30.07.19,001,Сильная вибрация на заточном станке  невозможно зачищать мелкие детали. Риск травсмы
242,22,31.07.19,001,розлив масла около станка 3-05
243,23,31.07.19,001,На станке отсутствует трап
244,24,31.07.19,001,За окнами вдоль стены фрезерного участка растет кустарник  который разрушает здание и загорадживает свет
245,25,31.07.19,001,ручки открывания окон находятся высоко  для открывания прихродится использовать подручные средства. Риск разбить стекло
246,26,31.07.19,001,Рохли в плохом тех состоянии  заваливаются на один бок
247,27,31.07.19,001,большое скопление контейнеров в зоне RedBin - выпирают на проход. Риск спотыкания
248,28,31.07.19,001,Рядом со станком 4-09 стоит поддон с контейнером вне разметки. Рсик споткнуться
249,29,31.07.19,001,На станке 1-19 вращательный элемент не огражден кожухом
250,1,02.08.19,001,Низко висит провод между станками 1-23 и 1-10
251,2,02.08.19,001,стойка для металла находится за станком 1-34
252,3,11.08.19,001,Выступает угол металлического листа под контейнером для стружки
253,4,11.08.19,001,Споткнулся о выпирающую на 30мм трубу возле станка
254,5,12.08.19,001,Буфер вх/вых деталей находится на проходе. Риск споткнуться
255,6,13.08.19,001,в кабине для курения нет вытяжки
256,7,13.08.19,001,С участка фрезеровки летитстружка. Риск попадния в глаза.
257,8,14.08.19,001,в проходе возле станка 2-13 стоит контейнер  мешает проходу
258,9,14.08.19,001,прутки лежат возле станка. Риск споткнуться
259,10,15.08.19,001,незакрывается ловушка на станке  вылетает стружка. Риск получить травму
260,11,15.08.19,001,от огадительной ширмы высупает ножка. Риск споткнуться
261,12,19.08.19,001,на столе зачистки лежит контейнер со стружкой. Риск попадания в глаза
262,13,20.08.19,001,на проходе треснуло напольное покрытие. Риск получить травму
263,14,20.08.19,001,у станка стоит рохля  риск спотыкания
264,15,20.08.19,001,сломана доска на подножном трапе. Риск получить травму
265,16,20.08.19,001,Оборудование для измерения углов установлено в неположенном месте. Риск получить травму
266,17,21.09.19,001,За станком 2-06 торчит старая труба
267,18,21.08.19,001,За станком 2-11 из старой разводки торчат трубы
268,19,21.08.19,001,Поскользнулся на ступеньке и упал на спину
269,20,21.08.19,001,возле доски SIM1 на ограждении загнут лист. Риск споткнуться
270,21,23.08.19,001,разлито масло станок 1-21. Риск поскальзывания
271,22,26.08.19,001,на участке стоит рохля с поднятыми вилами. Риск спотыкания
272,23,26.08.19,001,в буфере участка стоит рулон с бумагой заставленный контейнерами. Риск получить травму
273,24,26.08.19,001,на участке стоят крупногабаритные детали. Риск получить травму
274,25,26.08.19,001,на станке 1-22 течь масла. Риск поскальзывания
275,26,27.08.19,001,в буфере участка  заставленном контейнерами расположено место стоянки кран балки. Риск получить травму
276,27,27.08.19,001,на станке 2-10 на пол разбрызгивается СОЖ. Риск поскальзывания
277,28,28.09.19,001,на участке деревянные трапы заменены на резиновые коврики. Стружка прокалывает подошву обуви.
278,29,28.08.19,001,у станка 1-10 лежит лом. Риск спотыкания
279,30,28.08.19,001,спотыкание о подкладку для металла.
280,31,29.08.19,001,контейнеры на участке стоят в 3 яруса. Риск падения.
281,32,29.08.19,001,течь эмульсии на станке 1-24. риск поскользнуться
282,1,10.09.19,001,Качается стеллаж на участке
283,2,12.09.19,001,Торчащая проволока из контейнера
284,3,13.09.19,001,выступают пластиковые карманы за полки стеллажа
285,4,16.09.19,001,утечка СОЖ на станке 2-10
286,5,17.09.19,001,Острые кромки на стеллаже
287,6,18.09.19,001,между станками 1-10 и 1-23 низко висят провода
288,7,18.09.19,001,станок 4-17 не имеет подхода к задней части
289,8,18.09.19,001,станок 2-13 не закреплен колпак на лампе
290,9,19.09.19,001,на станке 3-07 утечка СОЖ
291,10,19.09.19,001,контейнер на проходе
292,11,19.09.19,001,вращающийся конец заготовки без ограждения
293,12,19.09.19,001,за станком 5-05 висят шланги
294,13,19.09.19,001,возле станка 4-17 на полу направляющая под сток масла
295,14,19.06.19,001,ручка на двери без стопора
296,15,19.09.19,001,вылезают гвозди из подоконника
297,16,19.09.19,001,На лестнице скользкие ступеньки
298,17,19.09.19,001,Розлив СОЖ на проход
299,18,19.09.19,001,Розлив СОЖ на пол
300,19,19.09.19,001,Сломан трап на станке 2-18
301,20,18.09.19,001,протечка масла на пол  станок 7-02
302,21,19.09.19,001,отсутствуют деревянные трапы на участке. Стружка прокалывает обувь.
303,22,19.09.19,001,Контейнер стоит в неположенном месте
304,23,19.09.19,001,Контейнер стоит в неположенном месте
305,24,19.09.19,001,тележка с клнтйнером стоит в проходе. Риск упасть
306,25,19.09.19,001,вытяжка заточного станка плохо втягивает абразив
307,26,19.09.19,001,на изоляторе брака для меди торчит штырь
308,27,19.09.19,001,из окон под потолком щели. Сильно дует холодный воздух
309,28,20.09.19,001,не удобно вставлять пруток в станок 1-30. риск получить травму
310,29,24.09.19,001,торчат винты на бирке обозначения стоянки рохли
311,30,24.09.19,001,за станком 5-13 лежит трап. Риск споткнуться
312,31,24.09.19,001,между станками 5-06 и 5-07 плохо закреплена перегородка. Риск падения
313,32,24.09.19,001,на входе в женскую раздевалку отколота плитка. Риск спотыкания.
314,33,26.09.19,001,возле red bin на проходе стоит контейнер. Риск спотыкания.
315,34,26.09.19,001,сильная вибрация станка № 5816
316,1,01.10.19,001,в зоне хранения тележки  на уровне лица  висят обрезки труб. Риск травмы
317,2,03.10.19,001,эл.шкаф станка №11 стоит не устойчиво. Риск опрокидывания
318,3,03.10.19,001,подход к стеллажу с тех.документацией загроможден деталями от станка. Риск травмы
319,4,08.10.19,001,на полу кабель питания. Риск падения
320,5,09.10.19,001,между станками 1-14 и 1-4 торчит болт заземленияю риск спотыкания
321,6,09.10.19,001,шланг с возухом мешает проходу
322,7,10.10.19,001,в комнате приема пищи на полу образовалась яма
