<TOKEN>,<NUM>,<DATE>,<CODE>,<DESCR>,
26,20,17.02.22,004,Перед входом в цех наледь. Скользко.,
27,21,17.02.22,004,На козырьке перед входом сосульки.,
28,22,17.02.22,004,Из контейнера с обрезью торчит острый кусок металла.,
29,23,17.02.22,004,Высоко поднятая шина заземления возле стелажа с оснасткой пробивки.,
30,24,17.02.22,004,Детали габаритные уложены на сломанный поддон.,
31,25,17.02.22,004,Под прессом №206438 маслянное пятно. Риск подскользнуться и упасть.,
32,26,21.02.22,004,Сломан поддон для складирования деталей.,
33,27,21.02.22,004,Порван трос заземления пульта управления кранбалкой,
34,28,22.02.22,004,На входом в цех наледь,
35,29,21.02.22,004,Подтеки масла Станок №4,
36,30,28.02.22,004,Детали 8ГК.917.868(длинномер)  Лежали в неположенном месте. Это могло привести к травме.,
37,31,28.02.22,004,Визуально было обнаружено износ строп на кранбалке,
38,32,28.02.22,004,Около станка было замечено маслянное пятно.,
39,33,28.02.22,004,Идя на работу с южной проходной возле цеха ЦЭА большая лужа- не обойти. Наступил - промокли ботинки. Риск простудится и заболеть.,
40,1,14.02.2022,007,Уголки для крепления панелей лежали где попало,
41,2,14.02.2022,007,сборщики спотыкались об старые рельсы для передвижения стендов,
42,3,16.02.2022,007,Подложки по рамы лежат где попало,
43,4,22.02.2022,007,Открутился ролик у подающего рольганга,
44,5,22.02.2022,007,Во время проведения работ был обнаружен проврежденный участок кабеля,
45,6,22.02.2022,007,Поддон лежит на проходе,
46,7,25.02.2022,007,Заготовка торчала в сторону прохода  заграждая проход,
47,8,25.02.2022,007,На подходе к воротам очень скользко,
48,1,22.02.22,009,Бруски от упаковки оставлена на полу ,
49,2,22.02.22,009,Прокладочные бруски от упаковки лежат на проходе участка ,
50,3,22.02.22,009,Споткнулся об ограничитель движения электротележки,
51,1,01.02.22,010,на проходе стоит рулон металла,
52,2,02.02.22,010,,
53,3,03.02.22,010,рассыпана дробь возле дробеструйной уст-ки,
54,4,04.02.22,010,не правильное складирование заготовки,
55,5,08.02.22,010,разлита СОЖ возле установки,
56,6,09.02.22,010,заставлен проход к ПК,
57,7,10.02.22,010,нет вторичной ёмкости по химию,
58,8,15.02.22,010,на цепях для завеса  на рыме повреждена резьба,
59,9,16.02.22,010,загромождён проход к ПК,
60,10,17.02.22,010,не правильное складирование заготовки,
61,11,24.02.22,010,заготовка на сломанном поддоне,
62,12,25.02.22,010,разлита СОЖ возле пилы,
63,1,01.02.22,011,Ст. 226 поврежден уборочный инвентарь  сломана ручка  острые края.,
64,2,01.02.22,011,Заставлен готовыми трансформаторами проход к двери службы СТО,
65,3,02.02.22,011,Переполнен контейнер с отходами металла  острая сталь вываливается в проход. ,
66,4,02.02.22,011,Печь №238  для сушки пропитанных обмоток - телега переполнена застывшей смолой. Происходит отслоение  можно споткнуться  порезаться.,
67,5,03.02.22,011,ст. 227 не закреплен кабель-канал,
68,6,03.02.22,011,На площадке СИМ1 оставлена тележка.,
69,7,04.02.22,011,Обмотки стоят на сломанном поддоне,
70,8,04.02.22,011,ст. 219 - открытый защитный кожух  после ремонта,
71,9,07.02.22,011,Ст. 223 нет ручки на напильнике. ,
72,10,07.02.22,011,Отсутствует емкость под слив масла.,
73,11,08.02.22,011,Неисправно оборудование - протечка масла 127 машина поперечный раскрой.,
74,12,08.02.22,011,Выезд заставлен упакованными трансформаторами,
75,13,09.02.22,011,Поврежден провод питания электрического диспенсера для резки скотча ст. 236.,
76,14,09.02.22,011,218 станок  после демонтажа стеллажа остался анкер  выступающий из пола.,
77,15,10.02.22,011,Сработала газовая сигнализация ,
78,16,11.02.22,011,отключилась вентиляция цеха.,
79,1,01.02.22,012,АЭС трансформаторы загораживают подъезд к химии,
80,2,03.02.22,012,Лужи от растяавшегно на упаковке снега,
81,3,07.02.22,012,Завышена рабочая температура печи,
82,4,10.02.22,012,Провисание провода между лобораторией и сушилкой,
83,5,14.02.22,012,Запах сгоревшего масла,
84,6,16.02.22,012,Разболталось крепление ножа на прессе,
85,7,18.02.22,012,Тамбур заставлен готовой продукцией,
86,8,21.02.22,012,Сломан поддон под кубовиком,
87,1,02.02.22,013,при вывозе продукции в место хранения  погрузчик сильно буксует  скользко,
88,2,08.02.22,013,в зоне хранения СТ  за пешезодную дорожка сложенное на поддоне ярмо,
89,3,09.02.22,013,в зоне хранения металлолома из-под снега торчит отход прутка,
90,4,16.02.22,013,на погрузчике №1 пропал звуковой сигнал,
91,5,18.02.22,013,на контейнере под хранение ТБО сломалось колесо,
92,6,21.02.22,013,на крыше в курилке свисает леденая глыба,
93,7,25.02.22,013,на шкафчике стоит не подписанная бутылка,
94,1,03.02.22,014,"Перед зданием ЖДЦ на колодце пожарного гидранта отсутствует крышка  после уборки снега фронтальным погрузчиком ""Альянс""",
95,2,04.02.22,014,"за ""восточными"" на ж/д пути №1 наклонено дерево  находится в негаборите",
96,3,18.02.22,014,с правой стороны крыши АБК цеха свисают сосульки и снег,
97,4,21.02.22,014,Нависание снега с крыши склада над проездом ,
98,5,21.02.22,014,Нависание снега над вьездными воротами ,
99,1,01.02.22,015,На входе в здание наледь.,
100,2,04.02.22,015,Проход к пожарному комплекту завален .,
101,3,14.02.22,015,На газеле 550 не горит стоп сигнал,
102,4,18.02.22,015,В смотровой яме разлито масло.,
103,5,24.02.22,015,На проходе лежат старые запчасти.,
104,6,25.02.22,015,Течь воды с рукава высокого давления .,
105,7,28.02.22,015,Не горит свет в туалете.,
106,1,01.02.22,016,Наледь на входе  козырек над входной дверью заледенел,
107,2,01.02.22,016,Сход снега с крыши над входом для посетителей,
108,3,02.02.22,016,У входа в ЦП наледь,
109,4,02.02.22,016,На крыше склада образовались снежные шапки,
110,5,07.02.22,016,При входе образовалась наледь,
111,6,08.02.22,016,Гора снега тает и вода попадает в склад,
112,7,08.02.22,016,Шапка на модуле склада над входом,
113,8,10.02.22,016,Наледь на лестнице в офис,
114,9,14.02.22,016,Обледенение эстакады у склада,
115,1,03.02.22,017,Сильный запах от СОЖ,
116,2,04.02.22,017,Выступает швеллер за разметку,
117,3,08.02.22,017,Маслянное пятно на слесарном участке,
118,4,09.02.22,017,Сорваны болты крепления резцов,
119,5,11.02.22,017,Шланг налива СОЖ находиться на полу,
120,6,11.02.22,017,Изношен шлифовальный круг,
121,7,15.02.22,017,Изношен шлифовальный круг,
122,8,18.02.22,017,Увеличены зазоры на заточном станке,
123,9,21.02.22,017,Заготовки находяться на полу около стелажа,
124,1,10.02.22,018,При обходе помещений АБК и прилегающей к корпусу ИЦ территории обнаружено  что в результате обильных снегопадов и таяния снега двери аварийных выходов пожарной эвакуации скованы льдом и эвакуация через них невозможна. Двери заблокированы. ,
125,1,21.02.22,019,На пешеходном проходе (между столбами №14 и №16) находятся контейнера с деталями.,
126,2,03.02.22,019,На полу в пешеходной зоне лежит кусок упаковочной ингибированной пленки. Есть вероятность поскользнуться и упасть  получить травму,
127,3,25.02.22,019,На площадке возле цеха МехОП наледь (очень скользко)  есть вероятность получение травмы. Подскользнулась но не упала.,
128,4,28.02.22,019,Растрескалась напольная плитка. Есть риск падения тележки с ВВУ.,
129,5,25.02.22,019,Острые углы на тележках для сборки релейных шкафов снизу над колесами. Есть риск получить травму.,
130,6,28.02.22,019,В проходе между модулями лежат провода (шланги) от сварочного аппарата.,
131,7,17.02.22,019,В помещении лаборатории (каб. № 7) плитка отходит от стены. Возможно падение плитки на сотрудников или расположенное в помещении оборудование.,
132,8,18.02.22,019,В лаборатории в помещении склада (каб. №1) с потолка упала вентиляционная заглушка диффузора.,
133,9,18.02.22,019,В помещении лаборатории (каб. № 11) протекает водонагреватель.,
134,1,25.02.22,020,В проходе у венткамеры выступают опорные стойки,
135,2,22.02.22,020,На полу перев воротами лужа масла,
136,3,18.02.22,020,Повреждённая эл. Проводка на теплозавесе,
137,4,21.02.22,020,Отвалился уголок крепления фундамента,
138,5,22.02.22,020,Грунт протёк у ванн грунтования,
139,6,21.02.22,020,Открылась боковая защитная крышка холодильника со стороны компрессора у лазера,
140,7,17.02.22,020,Повреждение системы отопления  протечка,
141,8,21.02.22,020,На двери в пролётных воротах на участке галтовки оторван кусок металла,
142,9,15.02.22,020,В женском туалете не было освещения,
143,10,15.02.22,020,Открутилась гайка толкателя на ОСК,
144,11,14.02.22,020,Разбита аварийно- стоповая кнопка на кривошипном прессе,
145,1,22.02.22,022,В связи с сильными снегопадами прочистили очень узкую тропу по ширине стопы  людям ходить крайне неудобно. Риск паднений,
