<DATE>,<CODE>,<DESCR>
26.07.21,001,на стеллаже приспособлений размещается крупная оснастка на самой верхней полке  что создаёт опасность нанесения травмы при её падении
27.07.21,001,Лампа освещения висит на оном креплении
27.07.21,001,на двух открывающихся створках окон повреждена фурнитура  что может привести к травме
28.07.21,001,во время работы станка 18 произошла утечка СОЖ   что могло привести к травме и перерасходу тМЦ
28.07.21,001,на участке размещенны контейнеры с заготовками стенки которого повреждены ( куски проволоки торчат во все стороны) что может привести к травме
29.07.21,001,Фонарь ночного освещения висит на электропроводе может произойти замыкание сети
29.07.21,001,На тротуарной дорожке расположен люк  Вокруг него проволился асвальт образовались кочки  Рабочие проходят спотыкаясь   можно получитть травму
29.07.21,001,На токарном участке между станками 5 и 13 торчит труба и шлаги с возвоздухом все постоянно спотыкаются
29.07.21,001,На технологическом проходе контейнер  риск получитть травму
29.07.21,001,на участке стоят контейнеры с крупногабаритными деталями выступающие на проход  что может привести к травме сотрудников
29.07.21,001,ручки окон сделанны высако приходится лезть на батарею чтобы открыть
29.07.21,001,масло на полу у станка 4-15
30.08.21,001,Было разлито масло у станка 3-04  что могло привести к падению
30.08.21,001,На проходе растеклось масло
30.08.21,001,Разлита эмульсия
30.08.21,001,Около станка 4-16 детали стоят за линией разметки
30.08.21,001,По проходу на фрезерном участке открыты дверцы шкафов с инструментом
30.08.21,001,На заточном участке плохо работает вентиляционная система  что может привести к серьезным заболеваниям дыхательных путей
30.08.21,001,Возле станка была разлита эмульсия 
30.08.21,001,Требуется ремонт места стоянки кранбалки  так как можно споткнуться и получить травму
30.08.21,001,В душе отсуствуют лейки на душ
30.08.21,001,При работе на токарном станке было пролито масло на трап перед станков
30.08.21,001,На станках №10 и №11 на полу лежат шланги от воздушного пистолета  они не прикреплены  что часто приводит к спотыканию и падениям 
30.08.21,001,Не работает лампа освещения над станком
30.08.21,001,Возле пилы 8-01 стоял контейнер с заготовкой за разметкой  Риск споткнуться и упасть
30.08.21,001,Повреждение трапа около станка 2-05
30.08.21,001,На сверлильном участке за станками №5 и №7 лежит на полу шланг  Риск зацепиться ногой и получить травму
30.08.21,001,На участке сверловки возле рольганга вся площадка заставлена контейнерами  невозможно подойти за деталями
30.08.21,001,На сверлильном участке контейнер стоит за пределами разметки  Риск получить травму
30.08.21,001,Лопнула доска у трапа на станке 2-12
30.08.21,001,На станке 2-04 произошел обрыв шланга на пневмодрели
30.08.21,001,Освещение в цеху очень плохое
30.08.21,001,Плохое освещение в цехе
30.08.21,001,Контейнер с деталями находится на проходе
31.08.21,001,Заготовки и коробки с заготовками лежат на проходе  что может привести к травме
31.08.21,001,Не соблюдение разметки в зоне буфера сверлильного и фрезерного участка  Детали в контейнерах стоят на проходе 
31.08.21,001,На фрезерном универсальном участке грязные окна  На участке темно
31.08.21,001,Около станка 4-10 стоит поддон с деталями не в резметке  мешает свободному перемещению
31.08.21,001,На участке заточки не работает вытяжка
27.09.21,001,На полу лежали обмылки  что могло привести к падению
28.09.21,001,У станка 2-18 сломан трап
28.09.21,001,на проходе  стоял контейнер
28.09.21,001,у станка 2017 была разлита СОЖ
28.09.21,001,Было разлито масло у станка 3-04
28.09.21,001,за станком лежали черенки от щёток
28.09.21,001,на участке заточке не работает вытяжка
28.09.21,001,Около станка 4-04 стоят контейнера и коробочки с деталями  что затрудняет доспук к станку
28.09.21,001,Около станка открывается окно 4-05 оно открывается
28.09.21,001,сильно истрёпан нижний парог задних ворот  свою функцию не выполняет есть риск ближайших операторов простудится
28.09.21,001,не горит лампа освещения
28.09.21,001,не проходе стоял контейнер
21.10.21,001,На учстке разложенны крупногабаритные детали  выступающие в проход  что может привести к травме
25.10.21,001,На станке 2-05 обнаружено повреждение защитных шторок вала оси У на направляющих   что может привести к порче ТМЦ
25.10.21,001,Около станка 510   после распоковки деталей осталась проволока торчающая на проход
26.10.21,001,При работе ыл замечен оголённый ровод
26.10.21,001,на участке накатки открутились накатные кулачки  при работе риск получить травму
26.10.21,001,разлив эмульсии  риск получить травму
26.10.21,001,Со шланка капало СОЖ
26.10.21,001,возле станка контейнер стоит не по разметке есть  риск споткнутся
26.10.21,001,Лужа от масла на проходе
27.10.21,001,Контейнер с заготовками на проходе
27.10.21,001,на ровные полы  риск споткнутся
27.10.21,001,станок 1-10 кожух без защиты  риск вылета прутка 
02.11.21,001,С контейнера со стружкой стекает СОЖ на центральный проход
02.11.21,001,Накапало масло с гидравлики 
26.11.21,001,Во время уборки станка 17 обнаружена щётка с повреждённой рукоядкой  что может привести к травме
26.11.21,001,На участке размещён контейнер с повреждёнными стенками из проволоки  острые края которой могут нанести травму сотрудникам
27.11.21,001,На полу возле станка было разлито СОЖ
29.11.21,001,НА теневой доске 510 обнаружен гаечный ключ с повреждённой поверхностью  что может привести к травме 
30.11.21,001,Во время настройки станка для изготовления детали  обнаружена планка прижимная с трещиной на корпусе   что может привести к изготовлению НП  или травме
30.11.21,001,на теневой доске станка 2-06 обнаруженны пассатижи с нарушенной изоляцией рукоятки  что может привести к травме
30.11.21,001,на технологическом проходе стоит контейнер риск получить травму
30.11.21,001,Около станка 24 разлит СОЖ   риск получить травму
30.11.21,001,на участке полы все в выбоинах  что затрудняет уборку стружки
30.11.21,001,около станка 4-06 стоит кассета с деталями не в разметке 
30.11.21,001,возле станка разлито масло 
30.11.21,001,на участке перегорели лампы освещения 
30.11.21,001,самопроизвольно закрыватся крышка бара на станке 17 ханва  
30.11.21,001,не горит лампа освещения
02.12.21,001,шланг   подводящие воздух на станок 501   проходят по полу   что приводит к травле работников при падении
09.12.21,001,Обнаружил маслянное пятно возле контейнера   что может привести к травме работников
09.12.21,001,на станке 7 поврежденна доска   что может привести к травме работника
09.12.21,001,На теневой доске станка 2-12 обнаружен напильник с тревнувшей ручкоядкой  что может привести к травме
10.12.21,001,на станке 510 на баке с СОЖ   повреждены сетки фильтры   что может привести к травме при уборке 
13.12.21,001,на фрез участке со стороны уличной стены постоянный приток холодного воздуха 
13.12.21,001,на тротуаре частично нарушено освещение и покрытие асфальта 
14.12.21,001,На нескольких окнах не исправна фурнитура 
14.12.21,001,на несколькихболтах для крепления заготовок на станке 510 нарушена резьб 
11.01.21,002,На доске поста ослабло крепление кармана для хранения документации  существует риск выпадения документов в горячий стакан тигля и воспламенения 
18.01.21,002,Защитный кабель канал отошел от термопары  кабель термопары не защищен от механического воздействия 
21.01.21,002,Сломался защитный экран на заточном станке (наждаке) 
22.01.21,002,Не работают (перегорели) лампы дневного освещения во всем пролете  Существует риск получения травмы при вероятном падении 
25.01.21,002,В процессе выполнения операции существует риск поражения эл  током  т к  станок стоит в луже скопившейся от течи с потолка 
25.01.21,002,В процессе лужения шин сотрудник едва не упал  поскольку задел ногой край разорванного диэлектрического коврика 
26.01.21,002,В момент транспортировки контейнера с готовой продукцией с участка ГЛДИ  есть риск падения  т к  напольное покрытие имеет выбоины 
26.01.21,002,В момент транспортировки готовой продукции на гидравлической тележке  сотрудник едва был не травмирован падением тарыв результате поломки гидротележки 
26.01.21,002,В результате износа креплений на подвеске для цинкования деталей  существует риск их падения в момент выхода её из линии на пост разгрузки 
29.01.21,002,Отсутствует визуализация вращающегося рабочего элемента оборудования 
01.02.21,002,Частично отсутствует защитная гофра на электропроводе  Риск повреждения провода и поражения эл током 
01.02.21,002,Провода на ваннах линии серебряния находятся без гофры 
03.02.21,002,Порвался диэлектрический коврик  Риск поражения электрическим током 
11.02.21,002,На линии ГЛДИ рядом с укосиной для загрузки подвесок с мелкими деталями  в полу сквозное отверстие  Есть риск падения деталей на первый этаж 
15.02.21,002,Частично отсутствует защитная гофра на электропроводе  Риск повреждения провода и поражения эл током 
15.02.21,002,При доливе гидравлического масла произошел разлив 
15.02.21,002,Отсутствует бирка указания огнетушителя 
15.02.21,002,Кабель канал проложенный по верху провисший и поврежденный  Возможен зацеп и полный разрыв кабеля 
25.02.21,002,В момент подхода к индивидуальному шкафчику  сотрудник может споткнуться об укрывной материал (тент) лежащий под шкафом 
26.02.21,002,Нагромождение тележек возле поста  одна тележка на половину перекрыла проход 
26.02.21,002,После вскрытия упаковки с металлом  стягивающая лента от пачки находится в проходе  есть риск споткнуться 
10.03.21,002,На участке разбросаны паронитовые прокладки для реторты  что может привести к падению и получению травмы 
10.03.21,002,В момент нахождения между линиями ГЛДИ и травления стали  есть вероятность получения травмы  поскольку туба с цинком лежит в проходе 
10.03.21,002,На участке травления стали в результате утечки воды из ванны промывки образовалась лужа при входе на трап  Есть вероятность поскользнуться  упасть и получить травму 
11.03.21,002,Стерлась разметка безопасных проходов 
12.03.21,002,После выполнения операции по лужению деталей  сотрудник едва не упал через преграждающую путь тележку  которую оставил стропальщик 
15.03.21,002,Под ведром со флюсом в полу имеется выбоина  Подставка с флюсом стоит неустойчиво  расплескивается флюс  возможно попадание на открытые части тела  глаза 
16.03.21,002,Порвался диэлектрический коврик на посту лужения 
18.03.21,002,Забился трап для слива жидкости  розлив жидкости на пешеходной дорожке 
23.03.21,002,В результате засорения сливных трапов у линии АЛГ существует риск затопления прилегающей  территории и возникновения травмоопасной ситуации 
26.03.21,002,Стерлась разметка безопасных проходов и мест хранения продукции 
30.03.21,002,Стерлась разметка безопасных проходов 
31.03.21,002,Риск споткнуться и получить травму о коробку с оснасткой  стоящую у стола инженера-технолога на полу 
05.04.21,002,Припроведении корректировки хим состава ванн на линии травления стали произошел розлив ХОВ 
06.04.21,002,Лента скрепляющая упаковку шин после вскрытия выпирает в проход  есть риск споткнуться 
07.04.21,002,Педаль управления станка распологается в середине пролета  что может привести к падению сотрудника 
13.04.21,002,Токоподводящий провод намоточной установки имеет повреждение защитной гофры  При повреждении токоведущего провода  возможно поражение исполнителя электрическим током 
16.04.21,002,В момент выполнения операции сотрудник едва не упал столкнувшись о пневмошланг станка лежащий на полу 
19.04.21,002,На перекатной телеге распологаются крупногабаритные шины  которые выступают за разметку и перекрывают пешеходную зону  что может привести к столкновению и получению травм 
20.04.21,002,Подход к беседке имеет неровности покрытия в виде выпирающих частей плит и плитки  что может привести к падению при подходе к беседке 
22.04.21,002,В момент прохода по участку есть риск получения травмы  поскольку тара с деталями (тонник) неустойчиво распологалась на поддоне и могла при падении задеть нижние конечности сотрудника 
22.04.21,002,В момент выборки провода с катушки оператор едва не получил травму  т к  ось катушки не была зафиксирована на стойке и едва не слетела 
26.04.21,002,При доливе ванны промывки на линии травления меди произошел перелив 
12.05.21,002,Розлив гидравлического масла при доливе в гидравлическую станцию
17.05.21,002,Воздушный шланг лежит на проходе  преграждая пешеходный проход  затрудняет проезд перекатных столов с готовой продукцией и увеличивает риск получения травмы 
19.05.21,002,Контейнер с отходами стоит и частично загромождает проход  что может привести к столкновению с ним и получению травм 
20.04.21,002,На лестничном марше розлита вода  что может привести к падению и получению травм 
25.05.21,002,На проходе между 1  и 2 этажами с северной стороны цеха находится ящик для храннеия ртутьсодержащих ламп  что является нарушением пожарной безопасности 
25.05.21,002,За линией АЛГ сломаны петли и ручка у окна  Окно может упасть и разбиться 
26.05.21,002,"Затертые пешеходные переходы  не видны линии ""зебры"" для пешеходов и водителей "
27.05.21,002,На станке Guifil нарушена гофра провода педали станка  возможен удар током 
27.05.21,002,В открытые транспортные ворота периодически выходят или заходят сотрудники 
27.05.21,002,Падает побелка с потолка  риск попадпния в глаза 
27.05.21,002,На складе с оснасткой выключатель освещения сломан  риск поражения эл током 
31.05.21,002,Лопнула труба на установке деминирализации  розлив жидкости на пол 
01.06.21,002,В момент подхода к рабочему посту сотрудник едва не упал подскользнувшись на луже масла вытекшего из гидравлической системы станка  Данный инцидент мог привести к получению травмы 
01.06.21,002,На участке хранения ХОВ есть риск получения травмы при передвижении  поскольку через пешеходную дорожку протянут шланг насоса 
10.06.21,002,"На участке сварки на перекатном столе детали для сварки скомплектованы ""навалом""  Риск падения деталей "
14.06.21,002,Течь ванны осветления алюминия
17.06.21,002,В момент подхода к месту отстоя кранбалки стропальщик выявил оголенный провод свисающий с двигателя  Ситуация могла привести к поражению эл током 
18.06.21,002,После разгрузки пачек с шинами одна упаковка уложена на место хранения не ровно и выступает в проход за линию разметки 
21.06.21,002,Поддон с обрезью резины расположен на расстоянии менее 1 м от электрического шкафа 
21.06.21,002,Перекатной стол расположен на проходе возле модуля 
24.06.21,002,На пути к автостоянке отсутствет часть ступени лестницы  риск оступиться и получить травму 
24.06.21,002,Шина заземления плохо закреплена к оборудованию 
05.07.21,002,Наюжных воротах цеха для въезда автомобилей висит кабель питания открытия ворот  который обрезан  но не заизолирован 
05.07.21,002,протечка с потолка жидкости
05.07.21,002,в помещении душно и жарко  Нет вентиляции 
13.07.21,002,В процессе выполнения ремонтных работ станка  сотрудник ДТО сливал масло из гидравлической системы в ёмкость Через некоторое время она переполнилась и образовался пролив на полу  что могло привести к тавме 
12.07.21,002,На участке намотки гибкой связи на подводящем проводе (380v) повреждена защитная гофра  Риск замыкания и удара током 
02.08.21,002,на участке неровности на полу  где стоит ёмкость с флюсом Риск опрокидывания ведра 
03.08.21,002,На участке кайзен возле сим1 расположен контейнер с опилками без напольной разметки  Нахождение контейнера на полу без разметки может привести к травме при перемещении по проходу 
04.08.21,002,Нет защиты для кабель канала  Риск споткнуться и получить травму 
06.08.21,002,На проходе торчит кусок металла из бетона Риск получить травму 
23.08.21,002,В момент транспортировки продукции по территории 3 пролёта в районе очистных есть риск получения травмы  т к  пролёт захламлён пустыми катушками от проводов 
23.08.21,002,В моммент вытяжки шины для прогрева нового участка  сотрудник обнаружил заусенец на шине  которым она уперлась в доп-ую стойку и едва ее не перевернула  что могло привести к травме 
