<TOKEN>,<NUM>,<DATE>,<CODE>,<DESCR>
28,6,19.02.21,001,Подтекал шланг подачи имульсии   на полу были подтёки жидкости
29,7,19.02.21,001,Был выдвинут шкаф на проход   что могло привести к травме
30,8,19.02.21,001,забился слив Сож   протекла эмульсия
31,9,19.02.21,001,Когда поднимал детали   чуть не ударился об штырь возле столба
32,10,19.02.21,001,Около станка 1-37 на полу лежала круглая заготовка   что могло приветси к травме
33,11,19.02.21,001,Перегорела лампочка на заточном участке 
34,12,19.02.21,001,Загромождён проход к ящику с инструментом контейнерами
35,13,19.02.21,001,На станках на кожухах торчат острые углы
36,14,19.02.21,001,Мехду станками проложенны трубы  ничем не закрепленны Риск спотыкнутся и упасть
37,15,19.02.21,001,Внизу входных ворот большая щель   из неё дует
38,16,19.02.21,001,На токарном находился молоток слетевший с рукоядки   была возможность получить травму 
39,17,19.02.21,001,На участке хасс плохое освещение над станками 1-07 1-10
40,18,19.02.21,001,на участке хранения чертежей   а также у станков 10-16 постоянный приток холодного воздуха  что может привести к массовому заболеванию
41,19,20.02.21,001,В душевой комнате для мужчи часть напольгой плитки не закреплена   что может привести к травме
42,20,24.02.21,001,на участке зачистки деталей на наждаке   завышано растояние между кругом и основанием 
43,1,11.03.21,001,на станке 510 произошла утечка СОЖ
44,2,16.03.21,001,На стеллаже для остнастки размещён 3-х кулачковый патрон на высоте свыше 2-х метров   что может привести к травме при его падении
45,3,16.03.21,001,отсутствует сферическое зеркало   не видно транспорт при выходе в цех
46,4,17.03.21,001,возле станка 1-19 не закреплён шланг подачи воздуха   риск споткнуться и упа сть.
47,5,17.03.21,001,на 5 станке лужи имульсии
48,6,17.03.21,001,В  месте размещения чертежей размещён писменный стол с незакреплённой сталешницей   что может привести к травме
49,7,18.03.21,001,На трапе вылезли гвозди
50,8,22.03.21,001,у станка 3-05 было ралито масло   что могло привести к травме
51,9,22.03.21,001,Рохля стояла в неположенном месте между станком 1-05 и 1-06
52,10,22.03.21,001,Возле входных ворот лежит свёрнутый коврик  возможно получить травму.
53,11,22.03.21,001,на кожуках станков присутствуют острые крошки   возможно получить травму.
54,12,22.03.21,001,под стеллажём стоит пустая тара 
55,13,22.03.21,001,После привоза контейнеров для стружки   остаются лужи от снега.
56,14,22.03.21,001,на участке складирования заготовок контейнер стоял не на месте из него торчала габаритная заготовка  что могло привести к травме.
57,15,29.03.21,001,Лампа освещения 7-01 перегорела. При работе раск получить травму
58,16,29.03.21,001,У накаточного станка  в зажимных кулачках открутился болт  при работе риск получить травму. 
59,1,06.04.21,001,На участке стоит контейнер с крупногабаритными деталями   которые выступают за пределы разметки. Риск получить травму
60,2,06.04.21,001,За станками с 4 по 8 на полу лежат шланги с воздухом. При наладке есть возмоджномть получить травму
61,3,14.04.21,001,Табличка указывающая место стоянки тележки для ханвы   сломался крепёж с одной стороны.
62,4,20.04.21,001,В рабочем моменте  заметил оголённый провод фонаря над станком 
63,5,20.04.21,001,В проходе между стеллажём и токарным хаас валялась коробка для уборки стружки
64,6,20.04.21,001,на проходе стоял контейнер с деталями.
65,7,20.04.21,001,Обнаружила эмульсию на полу
66,8,20.04.21,001,Утечка эмульсии станок 2-05
67,9,20.04.21,001,На станке 2-06 на теневой доске находились пассатижи с порваными ручками
68,10,20.04.21,001,шланги подачи воздуха проходит поперёк прохода   риск споткнутся и получить травму
69,11,20.04.21,001,при замене масла в токарный станок   часть масла попало на рабочее место
70,13,20.04.21,001,тележка для перемещения сож была оставлена на проходе 
71,14,21.04.21,001,ямы в полу   невозможно довести прессформу на тележке до места
72,15,23.04.21,001,рассыпаны гранулы материала возле 5 машины
73,16,26.04.21,001,Возле станка 1-19 чуть не споткнулся об шланг из под оздуха   который идёт от столба.
74,17,27.04.21,001,У станка 2-17 стоял контейнер не в положенном месте
75,18,27.04.21,001,Нет ограждения между рабочим место м раб столом бригадиров при работе станка летит стружка
76,19,27.04.21,001,Восле станка стоял контейнер в проходе
77,20,27.04.21,001,У станка 2-04 была разлита СОЖ
78,1,12.05.21,001,На участке размещалась щётка для уборки со сломанной рукоядкой  что могло привести к травме
79,2,14.05.21,001,В контейнере с опилками   лежит бумага  ветошь грязная
80,3,14.05.21,001,В месте хранения чертежей на полу размещена не используемая шина заземления  о которую можно споткнутся и получить травму
81,4,14.05.21,001,На участке в месте установки компьютера   эл. Розетки слетели с крепления на стене  что могло привести к замыканию или поражению эл. Током работников.
82,5,14.05.21,001,на станке 2-05 произошла утечка СОЖ   что могло привести к травме работника и перерасходу ТМЦ
83,6,17.05.21,001,Проходя по проходу на фрез. Участке оператор споткнулся о шину заземления не закреплённую на полу. Чуть не упал.
84,7,17.05.21,001,На участке   на стеллаже хранения приспособлений крупногабаритная оснастка размещалась на верхней полке   что могло привести к травме работника  при её падении.
85,8,18.05.21,001,Во время уборки станка заципился перчаткой за проволку рваного края сетки-фильтра. Травмы рук удалось избежать.
86,9,19.05.21,001,На теневой доске станка 2-07  размещён молоток с треснувшей рукоядкой.
87,10,24.05.21,001,Около станка 510 стояли заготовки в контейнере с повреждёнными боковыми стенками из проволки  что могло привести к травме работника.
88,11,24.05.21,001,Во время работы на станке 2-04 был обнаружен люфт рабочего стола что могло привести к порче ТМЦ или к порче оборудования.
89,12,25.05.21,001,На месте хранения раматывателя бумаги  нож лежит в неположенном месте остриём вверх
90,13,25.05.21,001,В женской раздевалке засориляс слив в раковине   что может привести к порче ТМЦ и затрудняет гигиенический процедуры
91,14,25.05.21,001,В месте хранения чертежей размёщён писменный стол с не закреплённой столешницей   что может привести к травме
92,15,25.05.21,001,Около станка 2-16 стояли заготовки в еконтейнере и на деревянном поддоне  который имел видимые повреждения  что могло привести к порче ТМЦ при его далешем использовании или к травме сотрудника при работе с ним 
93,16,26.05.21,001,Теолежка с канистрами для розлива СОЖ   чтояла в неположенном месте мешала проходу 
94,17,27.05.21,001,Около станка 4-12 на полу лежит стол от станка без ленты ограждения
95,18,27.05.21,001,Из под станка вытекла СОЖ
96,19,27.05.21,001,возле станка 1-21 было разлито масло
97,20,27.05.21,001,не работает освещение на сверлильном станке   размещённом на участке милл   что может привести к травме сотрудника или изготовлению НП.
98,1,07.06.21,001,На участке в месте хранения чертежей на полу остатки не используемой шины заземления  что может привести к падению
99,2,08.06.21,001,На станке 510 через деформированную заглушку стла   произошла утечка СОЖ
100,3,08.06.21,001,На станке 510 № 17 порвана сетка фильтр  что может привести к травме рук. 
101,4,09.06.21,001,Во время ремонта станка вф 2 № 9 произошла утечка СОЖ и смазки   что могло привести к травме работников при подении на скользком полу
102,5,09.06.21,001,На теневой доске станка ВФ 5 размещался гаечный ключ с трещеной   что могло привести к травме рук при работе с ним.
103,6,10.06.21,001,На станке СПИНЕР оторвано заземление   что может привести к порче ТМЦ или к поражению электроком.
104,7,11.06.21,001,В месте хранения чертежей размещён писменный стол с незакреплёной столешницей
105,8,15.06.21,001,Фурнитура на окне имеет повреждения открывается некорректно.
106,9,15.06.21,001,Края металического листа   на котором размещён контейнер для стружки   подняты вверх над полом  что может привести к травме.
107,10,15.06.21,001,Оператор споткнулся о шину заземления  которая не закреплена к полу на проходе к колонне 15.
108,11,17.03.21,001,возле станка 1-15 не закреплён шланг подачи воздуха   риск споткнуться и упа сть.
109,12,17.03.21,001,на 8 станке лужи имульсии
110,13,18.02.21,001,было разлито масло на полу  что могло привести к падению
111,14,18.02.21,001,Контейнер с заготовкой стоит не в положенном месте цеха
112,15,19.02.21,001,У станка 2-07 была разлита СОЖ
113,16,19.01.21,001,возле станка 1-11 на проходестоит контейнер с деталями  можно споткнутся 
114,17,19.01.21,001,станок 22 № 9 вытекает гидравлика 
115,18,19.01.21,001,ржавые лейки в душевой 04 цеха
116,19,19.01.21,001,около станка 4-07 порвана штора от стружки  стружка разлетается
117,1,22.07.21,001,на участке контейнеры с заготовками размещенны в три яруса  создавая риск их падения и нанесения травмы
118,2,23.07.21,001,на станке 9 обнаружен напильник с повреждённой рукоядкой  что может привести к травме.
119,3,23.07.21,001,Перегорела лампа оствещения 
120,4,26.07.21,001,на трапе станка 7 треснула одна из досок  что может привести к травме рабочего
121,5,26.07.21,001,на стеллаже приспособлений размещается крупная оснастка на самой верхней полке  что создаёт опасность нанесения травмы при её падении
122,6,27.07.21,001,Лампа освещения висит на оном креплении
123,7,27.07.21,001,на двух открывающихся створках окон повреждена фурнитура  что может привести к травме
124,8,28.07.21,001,во время работы станка 18 произошла утечка СОЖ   что могло привести к травме и перерасходу тМЦ
125,9,28.07.21,001,на участке размещенны контейнеры с заготовками стенки которого повреждены ( куски проволоки торчат во все стороны) что может привести к травме
126,10,29.07.21,001,Фонарь ночного освещения висит на электропроводе может произойти замыкание сети
127,11,29.07.21,001,На тротуарной дорожке расположен люк. Вокруг него проволился асвальт образовались кочки. Рабочие проходят спотыкаясь   можно получитть травму
128,12,29.07.21,001,На токарном участке между станками 5 и 13 торчит труба и шлаги с возвоздухом все постоянно спотыкаются
129,13,29.07.21,001,На технологическом проходе контейнер  риск получитть травму
130,14,29.07.21,001,на участке стоят контейнеры с крупногабаритными деталями выступающие на проход  что может привести к травме сотрудников
131,15,29.07.21,001,ручки окон сделанны высако приходится лезть на батарею чтобы открыть
132,16,29.07.21,001,масло на полу у станка 4-15
133,1,30.08.21,001,Было разлито масло у станка 3-04  что могло привести к падению
134,2,30.08.21,001,На проходе растеклось масло
135,3,30.08.21,001,Разлита эмульсия
136,4,30.08.21,001,Около станка 4-16 детали стоят за линией разметки
137,5,30.08.21,001,По проходу на фрезерном участке открыты дверцы шкафов с инструментом
138,6,30.08.21,001,На заточном участке плохо работает вентиляционная система  что может привести к серьезным заболеваниям дыхательных путей
139,7,30.08.21,001,Возле станка была разлита эмульсия.
140,8,30.08.21,001,Требуется ремонт места стоянки кранбалки  так как можно споткнуться и получить травму
141,9,30.08.21,001,В душе отсуствуют лейки на душ
142,10,30.08.21,001,При работе на токарном станке было пролито масло на трап перед станков
143,11,30.08.21,001,На станках №10 и №11 на полу лежат шланги от воздушного пистолета  они не прикреплены  что часто приводит к спотыканию и падениям.
144,12,30.08.21,001,Не работает лампа освещения над станком
145,13,30.08.21,001,Возле пилы 8-01 стоял контейнер с заготовкой за разметкой. Риск споткнуться и упасть
146,14,30.08.21,001,Повреждение трапа около станка 2-05
147,15,30.08.21,001,На сверлильном участке за станками №5 и №7 лежит на полу шланг. Риск зацепиться ногой и получить травму
148,16,30.08.21,001,На участке сверловки возле рольганга вся площадка заставлена контейнерами  невозможно подойти за деталями
149,17,30.08.21,001,На сверлильном участке контейнер стоит за пределами разметки. Риск получить травму
150,18,30.08.21,001,Лопнула доска у трапа на станке 2-12
151,19,30.08.21,001,На станке 2-04 произошел обрыв шланга на пневмодрели
152,20,30.08.21,001,Освещение в цеху очень плохое
153,21,30.08.21,001,Плохое освещение в цехе
154,22,30.08.21,001,Контейнер с деталями находится на проходе
155,23,31.08.21,001,Заготовки и коробки с заготовками лежат на проходе  что может привести к травме
156,24,31.08.21,001,Не соблюдение разметки в зоне буфера сверлильного и фрезерного участка. Детали в контейнерах стоят на проходе.
157,25,31.08.21,001,На фрезерном универсальном участке грязные окна. На участке темно
158,26,31.08.21,001,Около станка 4-10 стоит поддон с деталями не в резметке  мешает свободному перемещению
159,27,31.08.21,001,На участке заточки не работает вытяжка
160,1,27.09.21,001,На полу лежали обмылки  что могло привести к падению
161,2,28.09.21,001,У станка 2-18 сломан трап
162,3,28.09.21,001,на проходе  стоял контейнер
163,4,28.09.21,001,у станка 2017 была разлита СОЖ
164,5,28.09.21,001,Было разлито масло у станка 3-04
165,6,28.09.21,001,за станком лежали черенки от щёток
166,7,28.09.21,001,на участке заточке не работает вытяжка
167,8,28.09.21,001,Около станка 4-04 стоят контейнера и коробочки с деталями  что затрудняет доспук к станку
168,9,28.09.21,001,Около станка открывается окно 4-05 оно открывается
169,10,28.09.21,001,сильно истрёпан нижний парог задних ворот  свою функцию не выполняет.есть риск ближайших операторов простудится
170,11,28.09.21,001,не горит лампа освещения
171,12,28.09.21,001,не проходе стоял контейнер
172,1,21.10.21,001,На учстке разложенны крупногабаритные детали  выступающие в проход  что может привести к травме
173,2,25.10.21,001,На станке 2-05 обнаружено повреждение защитных шторок вала оси У на направляющих   что может привести к порче ТМЦ
174,3,25.10.21,001,Около станка 510   после распоковки деталей осталась проволока торчающая на проход
175,4,26.10.21,001,При работе ыл замечен оголённый ровод
176,5,26.10.21,001,на участке накатки открутились накатные кулачки  при работе риск получить травму
177,6,26.10.21,001,разлив эмульсии  риск получить травму
178,7,26.10.21,001,Со шланка капало СОЖ
179,8,26.10.21,001,возле станка контейнер стоит не по разметке есть  риск споткнутся
180,9,26.10.21,001,Лужа от масла на проходе
181,10,27.10.21,001,Контейнер с заготовками на проходе
182,11,27.10.21,001,на ровные полы  риск споткнутся
183,12,27.10.21,001,станок 1-10 кожух без защиты  риск вылета прутка.
184,1,02.11.21,001,С контейнера со стружкой стекает СОЖ на центральный проход
185,2,02.11.21,001,Накапало масло с гидравлики 
186,3,26.11.21,001,Во время уборки станка 17 обнаружена щётка с повреждённой рукоядкой  что может привести к травме
187,4,26.11.21,001,На участке размещён контейнер с повреждёнными стенками из проволоки  острые края которой могут нанести травму сотрудникам
188,5,27.11.21,001,На полу возле станка было разлито СОЖ
189,6,29.11.21,001,НА теневой доске 510 обнаружен гаечный ключ с повреждённой поверхностью  что может привести к травме.
190,7,30.11.21,001,Во время настройки станка для изготовления детали  обнаружена планка прижимная с трещиной на корпусе   что может привести к изготовлению НП  или травме
191,8,30.11.21,001,на теневой доске станка 2-06 обнаруженны пассатижи с нарушенной изоляцией рукоятки  что может привести к травме
192,9,30.11.21,001,на технологическом проходе стоит контейнер риск получить травму
193,10,30.11.21,001,Около станка 24 разлит СОЖ   риск получить травму
194,11,30.11.21,001,на участке полы все в выбоинах  что затрудняет уборку стружки
195,12,30.11.21,001,около станка 4-06 стоит кассета с деталями не в разметке 
196,13,30.11.21,001,возле станка разлито масло 
197,14,30.11.21,001,на участке перегорели лампы освещения.
198,15,30.11.21,001,самопроизвольно закрыватся крышка бара на станке 17 ханва. 
199,16,30.11.21,001,не горит лампа освещения
200,1,02.12.21,001,шланг   подводящие воздух на станок 501   проходят по полу   что приводит к травле работников при падении
201,2,09.12.21,001,Обнаружил маслянное пятно возле контейнера   что может привести к травме работников
202,3,09.12.21,001,на станке 7 поврежденна доска   что может привести к травме работника
203,4,09.12.21,001,На теневой доске станка 2-12 обнаружен напильник с тревнувшей ручкоядкой  что может привести к травме
204,5,10.12.21,001,на станке 510 на баке с СОЖ   повреждены сетки фильтры   что может привести к травме при уборке.
205,6,13.12.21,001,на фрез участке со стороны уличной стены постоянный приток холодного воздуха.
206,8,13.12.21,001,на тротуаре частично нарушено освещение и покрытие асфальта.
207,9,14.12.21,001,На нескольких окнах не исправна фурнитура.
208,10,14.12.21,001,на несколькихболтах для крепления заготовок на станке 510 нарушена резьб.
209,1,11.01.21,002,На доске поста ослабло крепление кармана для хранения документации  существует риск выпадения документов в горячий стакан тигля и воспламенения.
210,2,18.01.21,002,Защитный кабель канал отошел от термопары  кабель термопары не защищен от механического воздействия.
211,3,21.01.21,002,Сломался защитный экран на заточном станке (наждаке).
212,4,22.01.21,002,Не работают (перегорели) лампы дневного освещения во всем пролете. Существует риск получения травмы при вероятном падении.
213,5,25.01.21,002,В процессе выполнения операции существует риск поражения эл. током  т.к. станок стоит в луже скопившейся от течи с потолка.
214,6,25.01.21,002,В процессе лужения шин сотрудник едва не упал  поскольку задел ногой край разорванного диэлектрического коврика.
215,7,26.01.21,002,В момент транспортировки контейнера с готовой продукцией с участка ГЛДИ  есть риск падения  т.к. напольное покрытие имеет выбоины.
216,8,26.01.21,002,В момент транспортировки готовой продукции на гидравлической тележке  сотрудник едва был не травмирован падением тарыв результате поломки гидротележки.
217,9,26.01.21,002,В результате износа креплений на подвеске для цинкования деталей  существует риск их падения в момент выхода её из линии на пост разгрузки.
218,10,29.01.21,002,Отсутствует визуализация вращающегося рабочего элемента оборудования.
219,1,01.02.21,002,Частично отсутствует защитная гофра на электропроводе. Риск повреждения провода и поражения эл током.
220,2,01.02.21,002,Провода на ваннах линии серебряния находятся без гофры.
221,3,03.02.21,002,Порвался диэлектрический коврик. Риск поражения электрическим током.
222,4,11.02.21,002,На линии ГЛДИ рядом с укосиной для загрузки подвесок с мелкими деталями  в полу сквозное отверстие. Есть риск падения деталей на первый этаж.
223,5,15.02.21,002,Частично отсутствует защитная гофра на электропроводе. Риск повреждения провода и поражения эл током.
224,6,15.02.21,002,При доливе гидравлического масла произошел разлив.
225,7,15.02.21,002,Отсутствует бирка указания огнетушителя.
226,8,15.02.21,002,Кабель канал проложенный по верху провисший и поврежденный. Возможен зацеп и полный разрыв кабеля.
227,9,25.02.21,002,В момент подхода к индивидуальному шкафчику  сотрудник может споткнуться об укрывной материал (тент) лежащий под шкафом.
228,10,26.02.21,002,Нагромождение тележек возле поста  одна тележка на половину перекрыла проход.
229,11,26.02.21,002,После вскрытия упаковки с металлом  стягивающая лента от пачки находится в проходе  есть риск споткнуться.
230,1,10.03.21,002,На участке разбросаны паронитовые прокладки для реторты  что может привести к падению и получению травмы.
231,2,10.03.21,002,В момент нахождения между линиями ГЛДИ и травления стали  есть вероятность получения травмы  поскольку туба с цинком лежит в проходе.
232,3,10.03.21,002,На участке травления стали в результате утечки воды из ванны промывки образовалась лужа при входе на трап. Есть вероятность поскользнуться  упасть и получить травму.
233,4,11.03.21,002,Стерлась разметка безопасных проходов.
234,5,12.03.21,002,После выполнения операции по лужению деталей  сотрудник едва не упал через преграждающую путь тележку  которую оставил стропальщик.
235,6,15.03.21,002,Под ведром со флюсом в полу имеется выбоина. Подставка с флюсом стоит неустойчиво  расплескивается флюс  возможно попадание на открытые части тела  глаза.
236,7,16.03.21,002,Порвался диэлектрический коврик на посту лужения.
237,8,18.03.21,002,Забился трап для слива жидкости  розлив жидкости на пешеходной дорожке.
238,9,23.03.21,002,В результате засорения сливных трапов у линии АЛГ существует риск затопления прилегающей  территории и возникновения травмоопасной ситуации.
239,10,26.03.21,002,Стерлась разметка безопасных проходов и мест хранения продукции.
240,11,30.03.21,002,Стерлась разметка безопасных проходов.
241,12,31.03.21,002,Риск споткнуться и получить травму о коробку с оснасткой  стоящую у стола инженера-технолога на полу.
242,1,05.04.21,002,Припроведении корректировки хим.состава ванн на линии травления стали произошел розлив ХОВ.
243,2,06.04.21,002,Лента скрепляющая упаковку шин после вскрытия выпирает в проход  есть риск споткнуться.
244,3,07.04.21,002,Педаль управления станка распологается в середине пролета  что может привести к падению сотрудника.
245,4,13.04.21,002,Токоподводящий провод намоточной установки имеет повреждение защитной гофры. При повреждении токоведущего провода  возможно поражение исполнителя электрическим током.
246,5,16.04.21,002,В момент выполнения операции сотрудник едва не упал столкнувшись о пневмошланг станка лежащий на полу.
247,6,19.04.21,002,На перекатной телеге распологаются крупногабаритные шины  которые выступают за разметку и перекрывают пешеходную зону  что может привести к столкновению и получению травм.
248,7,20.04.21,002,Подход к беседке имеет неровности покрытия в виде выпирающих частей плит и плитки  что может привести к падению при подходе к беседке.
249,8,22.04.21,002,В момент прохода по участку есть риск получения травмы  поскольку тара с деталями (тонник) неустойчиво распологалась на поддоне и могла при падении задеть нижние конечности сотрудника.
250,9,22.04.21,002,В момент выборки провода с катушки оператор едва не получил травму  т.к. ось катушки не была зафиксирована на стойке и едва не слетела.
251,10,26.04.21,002,При доливе ванны промывки на линии травления меди произошел перелив.
252,1,12.05.21,002,Розлив гидравлического масла при доливе в гидравлическую станцию
253,2,17.05.21,002,Воздушный шланг лежит на проходе  преграждая пешеходный проход  затрудняет проезд перекатных столов с готовой продукцией и увеличивает риск получения травмы.
254,3,19.05.21,002,Контейнер с отходами стоит и частично загромождает проход  что может привести к столкновению с ним и получению травм.
255,4,20.04.21,002,На лестничном марше розлита вода  что может привести к падению и получению травм.
256,5,25.05.21,002,На проходе между 1  и 2 этажами с северной стороны цеха находится ящик для храннеия ртутьсодержащих ламп  что является нарушением пожарной безопасности.
257,6,25.05.21,002,За линией АЛГ сломаны петли и ручка у окна. Окно может упасть и разбиться.
258,7,26.05.21,002,"Затертые пешеходные переходы  не видны линии ""зебры"" для пешеходов и водителей."
259,8,27.05.21,002,На станке Guifil нарушена гофра провода педали станка  возможен удар током.
260,9,27.05.21,002,В открытые транспортные ворота периодически выходят или заходят сотрудники.
261,10,27.05.21,002,Падает побелка с потолка  риск попадпния в глаза.
262,11,27.05.21,002,На складе с оснасткой выключатель освещения сломан  риск поражения эл током.
263,12,31.05.21,002,Лопнула труба на установке деминирализации  розлив жидкости на пол.
264,1,01.06.21,002,В момент подхода к рабочему посту сотрудник едва не упал подскользнувшись на луже масла вытекшего из гидравлической системы станка. Данный инцидент мог привести к получению травмы.
265,2,01.06.21,002,На участке хранения ХОВ есть риск получения травмы при передвижении  поскольку через пешеходную дорожку протянут шланг насоса.
266,3,10.06.21,002,"На участке сварки на перекатном столе детали для сварки скомплектованы ""навалом"". Риск падения деталей."
267,4,14.06.21,002,Течь ванны осветления алюминия
268,5,17.06.21,002,В момент подхода к месту отстоя кранбалки стропальщик выявил оголенный провод свисающий с двигателя. Ситуация могла привести к поражению эл током.
269,6,18.06.21,002,После разгрузки пачек с шинами одна упаковка уложена на место хранения не ровно и выступает в проход за линию разметки.
270,7,21.06.21,002,Поддон с обрезью резины расположен на расстоянии менее 1 м от электрического шкафа.
271,8,21.06.21,002,Перекатной стол расположен на проходе возле модуля.
272,9,24.06.21,002,На пути к автостоянке отсутствет часть ступени лестницы  риск оступиться и получить травму.
273,10,24.06.21,002,Шина заземления плохо закреплена к оборудованию.
274,1,05.07.21,002,Наюжных воротах цеха для въезда автомобилей висит кабель питания открытия ворот  который обрезан  но не заизолирован.
275,2,05.07.21,002,протечка с потолка жидкости
276,3,05.07.21,002,в помещении душно и жарко. Нет вентиляции.
277,4,13.07.21,002,В процессе выполнения ремонтных работ станка  сотрудник ДТО сливал масло из гидравлической системы в ёмкость.Через некоторое время она переполнилась и образовался пролив на полу  что могло привести к тавме.
